Value,Byte1,Byte2,IANA,DTLS?,Reference,OpenSSL,Version,Kx,Au,Enc,Mac,Export?
"0x00,0xB1",0x00,0xB1,TLS_PSK_WITH_NULL_SHA384,true,[RFC5487],,,,,,,
"0x00,0xB2",0x00,0xB2,TLS_DHE_PSK_WITH_AES_128_CBC_SHA256,true,[RFC5487],,,,,,,
"0x00,0xB3",0x00,0xB3,TLS_DHE_PSK_WITH_AES_256_CBC_SHA384,true,[RFC5487],,,,,,,
"0x00,0xB4",0x00,0xB4,TLS_DHE_PSK_WITH_NULL_SHA256,true,[RFC5487],,,,,,,
"0x00,0xB5",0x00,0xB5,TLS_DHE_PSK_WITH_NULL_SHA384,true,[RFC5487],,,,,,,
"0x00,0xB6",0x00,0xB6,TLS_RSA_PSK_WITH_AES_128_CBC_SHA256,true,[RFC5487],,,,,,,
"0x00,0xB7",0x00,0xB7,TLS_RSA_PSK_WITH_AES_256_CBC_SHA384,true,[RFC5487],,,,,,,
"0x00,0xB8",0x00,0xB8,TLS_RSA_PSK_WITH_NULL_SHA256,true,[RFC5487],,,,,,,
"0x00,0xB9",0x00,0xB9,TLS_RSA_PSK_WITH_NULL_SHA384,true,[RFC5487],,,,,,,
"0x00,0xBA",0x00,0xBA,TLS_RSA_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xBB",0x00,0xBB,TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xBC",0x00,0xBC,TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xBD",0x00,0xBD,TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xBE",0x00,0xBE,TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xBF",0x00,0xBF,TLS_DH_anon_WITH_CAMELLIA_128_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xC0",0x00,0xC0,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xC1",0x00,0xC1,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xC2",0x00,0xC2,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xC3",0x00,0xC3,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xC4",0x00,0xC4,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xC5",0x00,0xC5,TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA256,true,[RFC5932],,,,,,,
"0x00,0xFF",0x00,0xFF,TLS_EMPTY_RENEGOTIATION_INFO_SCSV,true,[RFC5746],,,,,,,
"0x56,0x00",0x56,0x00,TLS_FALLBACK_SCSV,true,[RFC-ietf-tls-downgrade-scsv-05],,,,,,,
"0xC0,0x01",0xC0,0x01,TLS_ECDH_ECDSA_WITH_NULL_SHA,true,[RFC4492],,,,,,,
"0xC0,0x02",0xC0,0x02,TLS_ECDH_ECDSA_WITH_RC4_128_SHA,false,[RFC4492][RFC6347],ECDH-ECDSA-RC4-SHA,SSLv3,ECDH/ECDSA,ECDH,RC4(128),SHA1,false
"0xC0,0x03",0xC0,0x03,TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA,true,[RFC4492],ECDH-ECDSA-DES-CBC3-SHA,SSLv3,ECDH/ECDSA,ECDH,3DES(168),SHA1,false
"0xC0,0x04",0xC0,0x04,TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA,true,[RFC4492],ECDH-ECDSA-AES128-SHA,SSLv3,ECDH/ECDSA,ECDH,AES(128),SHA1,false
"0xC0,0x05",0xC0,0x05,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA,true,[RFC4492],ECDH-ECDSA-AES256-SHA,SSLv3,ECDH/ECDSA,ECDH,AES(256),SHA1,false
"0xC0,0x06",0xC0,0x06,TLS_ECDHE_ECDSA_WITH_NULL_SHA,true,[RFC4492],,,,,,,
